ID Geography,Geography,Foreign-Born Citizens (2015),Foreign-Born Citizens (2016),Foreign-Born Citizens (2017),Foreign-Born Citizens (2018),Foreign-Born Citizens (2019),Foreign-Born Citizens (2020),Foreign-Born Citizens (2021),Foreign-Born Citizens (2022),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),Population (2019),Population (2020),Population (2021),Population (2022)
"50000US4505","Congressional District 5, SC",23145,23531,24601,24975,27714,30815,30954,32376,666672,672918,678910,687477,695549,706085,717411,729840,727226,733429
"50000US4506","Congressional District 6, SC",25135,25398,26090,25963,27473,28606,27773,34514,662031,665292,667105,667168,667841,662894,662643,662925,653349,732601
"50000US4507","Congressional District 7, SC",27825,28804,29618,29289,30109,32012,30660,32309,667516,673759,680163,689427,698776,709479,719968,730743,724141,738013
"50000US4600","Congressional District (at Large), SD",25430,27195,28358,30112,32011,34911,33705,33393,825198,834708,843190,851058,855444,864289,870638,879336,881785,890342
"50000US4701","Congressional District 1, TN",19815,18945,19645,19877,20802,20847,20724,22732,707012,709035,709547,711220,712059,713768,716773,720629,725183,769366
"50000US4702","Congressional District 2, TN",30687,31269,32248,31865,32350,34456,34929,35288,711088,716476,721436,726682,732230,738722,746435,754370,767016,771752
"50000US4703","Congressional District 3, TN",24667,24695,25233,25547,27020,27184,29046,33637,710552,714069,717815,719834,723001,726454,730736,736098,734250,771173
"50000US4704","Congressional District 4, TN",35903,36187,38184,39630,41562,42193,45587,41882,714362,723392,733717,745636,756359,769786,784717,800304,821348,771866
"50000US4705","Congressional District 5, TN",81655,82994,86134,89429,91251,90867,96999,85465,716926,726983,737704,747388,758995,765122,769198,773359,792617,767227
"50000US4706","Congressional District 6, TN",24995,24729,26372,26955,28102,27905,29189,39580,713046,720356,728457,737895,746798,759176,773038,786772,800493,773165
"50000US4707","Congressional District 7, TN",29091,29365,30518,31106,32090,33613,36947,39563,714583,723369,732702,742791,752931,764797,776612,789106,812291,766775
"50000US4708","Congressional District 8, TN",24493,24449,24161,25561,26607,27585,28806,27140,704440,707516,707982,708571,709012,708031,708466,708450,712769,765143
"50000US4709","Congressional District 9, TN",43669,42664,44368,44064,44334,42725,43119,48153,710378,710169,710255,707992,705996,705233,703381,703180,693530,767305
"50000US4801","Congressional District 1, TX",54625,54131,54225,55167,53735,55281,54864,55493,702286,707224,709646,711851,713841,718215,719958,722673,720481,769305
"50000US4802","Congressional District 2, TX",156223,158979,164021,164101,163667,165643,170933,117866,714222,727414,745283,758738,767312,785386,794851,809751,814155,761434
"50000US4803","Congressional District 3, TX",150514,158944,168793,182115,191094,199416,208480,132306,724951,747659,770105,791520,816143,842866,867470,896996,910097,780231
"50000US4804","Congressional District 4, TX",45310,45344,46593,48531,49718,50502,54099,123631,704830,709974,714953,721526,728435,738929,751164,765400,783941,773348
"50000US4805","Congressional District 5, TX",101280,104535,107963,108710,110745,107872,111326,122407,705642,715045,724157,731797,740618,744338,751567,758131,773738,773020
"50000US4806","Congressional District 6, TX",94418,96219,101969,103142,104563,109696,114250,127408,713938,722690,732310,745202,759949,773108,785330,802430,821592,763185
"50000US4807","Congressional District 7, TX",207936,214850,222161,232561,237731,236017,239006,302247,708385,727295,742386,753088,770276,785024,787830,793324,791353,781231
"50000US4808","Congressional District 8, TX",89576,95442,98629,103056,109217,109000,116473,145322,721673,740003,759942,782315,807525,832589,858427,879149,901501,771642
"50000US4809","Congressional District 9, TX",244127,254913,265365,269417,270298,267252,267660,213231,708720,726971,741226,762611,780017,781992,782123,773209,765963,757232
"50000US4810","Congressional District 10, TX",119684,124776,133937,140432,151326,151879,159979,90592,720957,739999,760755,783310,813505,839780,875936,904588,921341,765079
"50000US4811","Congressional District 11, TX",63998,65427,68265,69752,72273,72294,72888,78418,710994,721014,733162,744592,753479,764038,772210,778607,771174,760697
"50000US4812","Congressional District 12, TX",76672,79648,81845,82271,85124,85386,88468,81184,714739,728496,742964,758403,773234,793259,811608,824946,846301,771857
"50000US4813","Congressional District 13, TX",61601,64449,66454,67302,67669,66668,65908,77082,699400,702742,705632,707120,708616,710847,710097,712033,709295,769816
"50000US4814","Congressional District 14, TX",74945,76588,79166,80342,80115,78448,81929,74974,703962,711271,717656,726919,737708,747166,751606,757773,771651,768073
"50000US4815","Congressional District 15, TX",170791,170971,170878,174456,174732,173722,172420,171776,712825,727807,740657,753132,764749,776971,786367,794094,803835,764599
"50000US4816","Congressional District 16, TX",179320,178002,178568,174026,168963,166578,167997,175175,710356,719126,728187,732018,734516,737368,737398,740915,755415,771490
